"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1873","Registration with correct email, username and password","LMS system","2026-09-14","passed","2026-09-14","Registration","Authentification","",""
"","2627","Create course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","2168","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1751","Navigation from login page to registration page","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1898","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1836","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1819","Check displaying of empty courses list","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","3229","Edit course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","1927","Check displaying of the dashboard page","LMS system","2026-09-14","passed","2026-09-14","Dashboard","Dashboard","",""
"","3601","User login with correct email and login","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
