"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2632","Create course","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","1815","Registration with correct email, username and password","LMS system","2026-08-27","passed","2026-08-27","Registration","Authentification","",""
"","2148","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","1798","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","3339","Edit course","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","1690","Check displaying of empty courses list","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","3919","User login with correct email and login","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","1694","Navigation from login page to registration page","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","1974","Check displaying of the dashboard page","LMS system","2026-08-27","passed","2026-08-27","Dashboard","Dashboard","",""
"","2194","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
