"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1824","Registration with correct email, username and password","LMS system","2026-09-14","passed","2026-09-14","Registration","Authentification","",""
"","1926","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1661","Navigation from login page to registration page","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","3544","User login with correct email and login","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","3392","Edit course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","1958","Check displaying of the dashboard page","LMS system","2026-09-14","passed","2026-09-14","Dashboard","Dashboard","",""
"","1901","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1786","Check displaying of empty courses list","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","1803","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","2628","Create course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
