"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3612","Edit course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","2901","Create course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","2035","Registration with correct email, username and password","LMS system","2026-08-26","passed","2026-08-26","Registration","Authentification","",""
"","1980","Check displaying of the dashboard page","LMS system","2026-08-26","passed","2026-08-26","Dashboard","Dashboard","",""
"","2088","User login with wrong email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentification","",""
"","3822","User login with correct email and login","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentification","",""
"","1844","User login with wrong email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentification","",""
"","2030","User login with wrong email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentification","",""
"","1758","Check displaying of empty courses list","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","1724","Navigation from login page to registration page","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentification","",""
