"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1366","Navigation from login page to registration page","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","2767","Edit course","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","1436","Registration with correct email, username and password","LMS system","2026-08-27","passed","2026-08-27","Registration","Authentification","",""
"","1696","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","3001","User login with correct email and login","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","1606","Check displaying of the dashboard page","LMS system","2026-08-27","passed","2026-08-27","Dashboard","Dashboard","",""
"","1365","Check displaying of empty courses list","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","2124","Create course","LMS system","2026-08-27","passed","2026-08-27","Courses","Courses","",""
"","1369","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
"","1746","User login with wrong email or password","LMS system","2026-08-27","passed","2026-08-27","Authorization","Authentification","",""
